gbifID	accessRights	bibliographicCitation	language	license	modified	publisher	references	rightsHolder	type	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	recordedByID	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	caste	behavior	vitality	establishmentMeans	degreeOfEstablishment	pathway	georeferenceVerificationStatus	occurrenceStatus	preparations	disposition	associatedMedia	associatedOccurrences	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOrganisms	previousIdentifications	organismRemarks	materialEntityID	materialEntityRemarks	verbatimLabel	materialSampleID	eventID	parentEventID	eventType	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	country	countryCode	stateProvince	county	municipality	locality	verbatimLocality	minimumElevationInMeters	maximumElevationInMeters	verbatimElevation	verticalDatum	minimumDepthInMeters	maximumDepthInMeters	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinates	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	verbatimIdentification	identificationQualifier	typeStatus	identifiedBy	identifiedByID	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	superfamily	family	subfamily	tribe	subtribe	genus	genericName	subgenus	infragenericEpithet	specificEpithet	infraspecificEpithet	cultivarEpithet	taxonRank	verbatimTaxonRank	scientificNameAuthorship	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks
919435273	http://vertnet.org/resources/norms.html		en	https://creativecommons.org/publicdomain/zero/1.0	2015-04-09		http://portal.vertnet.org/o/msu/mr?id=mr-2592		PhysicalObject	http://grbio.org/cool/53w1-8r3k	http://grbio.org/cool/qxfg-723q		MSU	MR			PreservedSpecimen				urn:catalog:MSU:MR:MR.2592	MR.2592		Robert J. Robel					male						native			requires verification	present	hide, skull																							1955-08-28		240	240	1955	8	28											North and Central America | Canada | Yukon Territory |  |  |  |  |	North America				Canada	CA	Yukon			Big Salmon River, 70 mi. N and 45 mi. E Whitehorse	North and Central America | Canada | Yukon Territory | Big Salmon River, 70 mi. N and 45 mi. E Whitehorse												61.72768	-133.7234	NAD27	15952						decimal degrees							VertNet Georeferencing Guidelines																																							Rangifer tarandus caribou							Animalia | Chordata | Mammalia | Artiodactyla | Cervidae | Rangifer	Animalia	Chordata	Mammalia	Artiodactyla		Cervidae				Rangifer				tarandus	caribou		subspecies				ICZN			
919419056	http://vertnet.org/resources/norms.html		en	https://creativecommons.org/publicdomain/zero/1.0	2015-04-09		http://portal.vertnet.org/o/msu/mr?id=mr-34384		PhysicalObject	http://grbio.org/cool/53w1-8r3k	http://grbio.org/cool/qxfg-723q		MSU	MR			PreservedSpecimen				urn:catalog:MSU:MR:MR.34384	MR.34384		Helen C. Walter					unknown						native			requires verification	present	skin																											1963	10												North and Central America | Canada | British Columbia Province |  |  |  |  |	North America				Canada	CA	British Columbia			Terminus Mts.	North and Central America | Canada | British Columbia Province | Terminus Mts.												58.75	-127.0833	NAD27	4506						degrees minutes seconds							VertNet Georeferencing Guidelines																																							Rangifer tarandus							Animalia | Chordata | Mammalia | Artiodactyla | Cervidae | Rangifer	Animalia	Chordata	Mammalia	Artiodactyla		Cervidae				Rangifer				tarandus			species				ICZN			
911671425	http://vertnet.org/resources/norms.html		en	http://creativecommons.org/licenses/by/4.0/	2015-02-20		http://portal.vertnet.org/o/ttu/mammals?id=40316		PhysicalObject	urn:lsid:biocol.org:col:34902			TTU	Mammals			PreservedSpecimen				urn:catalog:TTU:Mammals:40316	40316		WATSON, R AND GRAPPE, P; JONAS BROS					male						native			requires verification	present	OT | other preparation																						TK901548	1951-09-27		270	270	1951	9	27	9/27/1951										| Canada | British Columbia |  |  |  |  |	North America				Canada	CA	British Columbia			MUNCHO LAKE (NORTHERN B.C.)	CANADA | BRITISH COLUMBIA | MUNCHO LAKE (NORTHERN B.C.)												58.9333	-125.7667007	WGS84	2412						degrees minutes seconds					Gary W. Shugart (PSM)	3/11/2004	VertNet Georeferencing Guidelines	BCGNIS downloaded April 2003/ SoftMap Oct 2003 (www.softmaptechnologies.com); degrees & minutes converted to dec lat/long for calculations; SoftMap uses same lat/long data	could also be Muncho Lake, Lake 58.9833 -125.7833																																					Rangifer tarandus							RANGIFER	Animalia	Chordata	Mammalia	Artiodactyla		Cervidae				Rangifer				tarandus			species				ICZN			
891331405	not-for-profit use only		en	https://creativecommons.org/licenses/by-nc/4.0/	2018-04-03			Royal Ontario Museum; ROM	PhysicalObject		urn:lsid:biocol.org:col:35306		Royal Ontario Museum: ROM	Vertebrate Paleontology	Palaeobiology - Vertebrate Recent Osteological Collection		PreservedSpecimen				URI:catalog:ROM:Vertebrate Palaeontology-Recent Osteological:7847	7847							not recorded											SKULL; COMPLETE	recent osteology CC307																						2006-06-30				2006	6	30	20060630										North America; Canada; Nunavut	North America				Canada		Nunavut																																																									Seymour, Kevin														Rangifer tarandus							Animalia; Chordata; Mammalia; Artiodactyla; Cervidae; Rangifer	Animalia	Chordata	Mammalia	Artiodactyla		Cervidae				Rangifer				tarandus										
891331376	not-for-profit use only		en	https://creativecommons.org/licenses/by-nc/4.0/	2018-04-03			Royal Ontario Museum; ROM	PhysicalObject		urn:lsid:biocol.org:col:35306		Royal Ontario Museum: ROM	Vertebrate Paleontology	Palaeobiology - Vertebrate Recent Osteological Collection		PreservedSpecimen				URI:catalog:ROM:Vertebrate Palaeontology-Recent Osteological:7850	7850							not recorded											SKULL PARTIAL; ANTLER; RIGHT	recent osteology CC307																						2006-06-30				2006	6	30	20060630										North America; Canada; Nunavut	North America				Canada		Nunavut																																																									Seymour, Kevin														Rangifer tarandus							Animalia; Chordata; Mammalia; Artiodactyla; Cervidae; Rangifer	Animalia	Chordata	Mammalia	Artiodactyla		Cervidae				Rangifer				tarandus										
891331346	not-for-profit use only		en	https://creativecommons.org/licenses/by-nc/4.0/	2018-04-03			Royal Ontario Museum; ROM	PhysicalObject		urn:lsid:biocol.org:col:35306		Royal Ontario Museum: ROM	Vertebrate Paleontology	Palaeobiology - Vertebrate Recent Osteological Collection		PreservedSpecimen				URI:catalog:ROM:Vertebrate Palaeontology-Recent Osteological:7849	7849							not recorded											SKULL PARTIAL; ANTLER; RIGHT	recent osteology CC307																						2006-06-30				2006	6	30	20060630										North America; Canada; Nunavut	North America				Canada		Nunavut																																																									Seymour, Kevin														Rangifer tarandus							Animalia; Chordata; Mammalia; Artiodactyla; Cervidae; Rangifer	Animalia	Chordata	Mammalia	Artiodactyla		Cervidae				Rangifer				tarandus										
891331316	not-for-profit use only		en	https://creativecommons.org/licenses/by-nc/4.0/	2018-04-03			Royal Ontario Museum; ROM	PhysicalObject		urn:lsid:biocol.org:col:35306		Royal Ontario Museum: ROM	Vertebrate Paleontology	Palaeobiology - Vertebrate Recent Osteological Collection		PreservedSpecimen				URI:catalog:ROM:Vertebrate Palaeontology-Recent Osteological:7846	7846							not recorded											SKULL; COMPLETE	recent osteology CC307																						2006-06-30				2006	6	30	20060630										North America; Canada; Nunavut	North America				Canada		Nunavut																																																									Seymour, Kevin														Rangifer tarandus							Animalia; Chordata; Mammalia; Artiodactyla; Cervidae; Rangifer	Animalia	Chordata	Mammalia	Artiodactyla		Cervidae				Rangifer				tarandus										
891331302	not-for-profit use only		en	https://creativecommons.org/licenses/by-nc/4.0/	2018-04-03			Royal Ontario Museum; ROM	PhysicalObject		urn:lsid:biocol.org:col:35306		Royal Ontario Museum: ROM	Vertebrate Paleontology	Palaeobiology - Vertebrate Recent Osteological Collection		PreservedSpecimen				URI:catalog:ROM:Vertebrate Palaeontology-Recent Osteological:7848	7848							not recorded											SKULL PARTIAL; ANTLER; RIGHT	recent osteology CC307																						2006-06-30				2006	6	30	20060630										North America; Canada; Nunavut	North America				Canada		Nunavut																																																									Seymour, Kevin														Rangifer tarandus							Animalia; Chordata; Mammalia; Artiodactyla; Cervidae; Rangifer	Animalia	Chordata	Mammalia	Artiodactyla		Cervidae				Rangifer				tarandus										
891325139	not-for-profit use only		en	https://creativecommons.org/licenses/by-nc/4.0/	2018-04-03			Royal Ontario Museum; ROM	PhysicalObject		urn:lsid:biocol.org:col:35306		Royal Ontario Museum: ROM	Vertebrate Paleontology	Palaeobiology - Vertebrate Recent Osteological Collection		PreservedSpecimen				URI:catalog:ROM:Vertebrate Palaeontology-Recent Osteological:1988	1988		Leitch;L.G.;Andrew;					not recorded											SKULL; COMPLETE; BONE; VERTEBRA; CERVICAL	recent osteology CC307																						1987-06-06				1987	6	06	19870606										North America; Canada; British Columbia	North America				Canada		British Columbia			Pink Mountain	Pink Mountain																																																					Seymour, Kevin														Rangifer tarandus							Animalia; Chordata; Mammalia; Artiodactyla; Cervidae; Rangifer	Animalia	Chordata	Mammalia	Artiodactyla		Cervidae				Rangifer				tarandus										
859550242	http://www.vertnet.org/resources/norms.html		en	http://creativecommons.org/publicdomain/zero/1.0	2013-08-07				PhysicalObject	urn:lsid:biocol.org:col:34925			AMNH	Mammals			PreservedSpecimen				urn:catalog:AMNH:Mammals:M-30000	M-30000	B.4	R. E. Peary		1			female						native				present	Not Mounted																							1908-09-22		266	266	1908	9	22	1908-09-22										North America;Canada;Nunavut Territory;Baffin Region;;;;	North America				Canada		Nunavut Territory	Baffin Region		Ellesmere Island, Grant Land, Porter Bay near Cape Henry	North America; Canada; Nunavut Territory; Baffin Region; ; ; ; ; ; ; North America; Canada; Nunavut Territory; Baffin Region; ; ; ; ; ; ; Ellesmere Island, Grant Land, Porter Bay near Cape Henry																																																																			Rangifer tarandus pearyi							Animalia;Chordata;Mammalia;Artiodactyla;Cervidae;Rangifer	Animalia	Chordata	Mammalia	Artiodactyla		Cervidae				Rangifer				tarandus	pearyi		subspecies				ICZN			
