species,X,Y,geometry
Haliaeetus leucocephalus,1055887.9145018603,563250.9170928434,"c(1055887.91450186, 563250.917092843)"
Haliaeetus leucocephalus,1728516.06259203,562169.890108365,"c(1728516.06259203, 562169.890108365)"
Haliaeetus leucocephalus,1212825.1253999511,457846.8067800843,"c(1212825.12539995, 457846.806780084)"
Haliaeetus leucocephalus,1149895.5173415737,450934.7965797002,"c(1149895.51734157, 450934.7965797)"
Haliaeetus leucocephalus,1546072.2048230902,692263.550725856,"c(1546072.20482309, 692263.550725856)"
Haliaeetus leucocephalus,1101782.314645916,501169.1940339638,"c(1101782.31464592, 501169.194033964)"
Haliaeetus leucocephalus,1736331.46874087,587311.5986349861,"c(1736331.46874087, 587311.598634986)"
Haliaeetus leucocephalus,1478894.1115784445,599375.0529923784,"c(1478894.11157844, 599375.052992378)"
Haliaeetus leucocephalus,1271987.015798458,458078.9897979752,"c(1271987.01579846, 458078.989797975)"
Haliaeetus leucocephalus,1643412.6522439679,623429.9651910126,"c(1643412.65224397, 623429.965191013)"
Haliaeetus leucocephalus,1170862.924739206,415400.7917448883,"c(1170862.92473921, 415400.791744888)"
Haliaeetus leucocephalus,1185042.828358312,383227.2478120739,"c(1185042.82835831, 383227.247812074)"
Haliaeetus leucocephalus,1155578.3926490694,452647.5404677077,"c(1155578.39264907, 452647.540467708)"
Haliaeetus leucocephalus,1226183.607640661,478014.1544434539,"c(1226183.60764066, 478014.154443454)"
Haliaeetus leucocephalus,1430464.7498174165,644339.8197320404,"c(1430464.74981742, 644339.81973204)"
Haliaeetus leucocephalus,1103703.015385571,404800.45867575204,"c(1103703.01538557, 404800.458675752)"
Haliaeetus leucocephalus,1180394.780884093,490543.20758511923,"c(1180394.78088409, 490543.207585119)"
Haliaeetus leucocephalus,1227191.7526786025,594970.4595120301,"c(1227191.7526786, 594970.45951203)"
Haliaeetus leucocephalus,1055279.722207626,553549.9966625465,"c(1055279.72220763, 553549.996662547)"
Haliaeetus leucocephalus,1179099.204376278,433503.8419144546,"c(1179099.20437628, 433503.841914455)"
Haliaeetus leucocephalus,1096438.6536588687,504704.82839464466,"c(1096438.65365887, 504704.828394645)"
Haliaeetus leucocephalus,1587460.77763949,612472.4311356323,"c(1587460.77763949, 612472.431135632)"
Haliaeetus leucocephalus,1117527.636581989,397172.0162168659,"c(1117527.63658199, 397172.016216866)"
Haliaeetus leucocephalus,1139798.0042186065,470581.20440529846,"c(1139798.00421861, 470581.204405298)"
Haliaeetus leucocephalus,1124681.1289297491,527478.8582153373,"c(1124681.12892975, 527478.858215337)"
Haliaeetus leucocephalus,1459774.3311301796,527124.0860808422,"c(1459774.33113018, 527124.086080842)"
Haliaeetus leucocephalus,1209478.3011234272,475511.7254341549,"c(1209478.30112343, 475511.725434155)"
Haliaeetus leucocephalus,1439775.181968443,655869.6067361791,"c(1439775.18196844, 655869.606736179)"
Haliaeetus leucocephalus,1271946.3489038476,458016.56253030937,"c(1271946.34890385, 458016.562530309)"
Haliaeetus leucocephalus,1727246.3518661503,563666.069829274,"c(1727246.35186615, 563666.069829274)"
Haliaeetus leucocephalus,1119487.4914802497,476624.7364095138,"c(1119487.49148025, 476624.736409514)"
Haliaeetus leucocephalus,1489732.5890540783,656572.3126334341,"c(1489732.58905408, 656572.312633434)"
Haliaeetus leucocephalus,1224070.5361311766,458047.7728590729,"c(1224070.53613118, 458047.772859073)"
Haliaeetus leucocephalus,1188915.0413511072,409578.64802751626,"c(1188915.04135111, 409578.648027516)"
Haliaeetus leucocephalus,1186956.647852368,484278.2282161568,"c(1186956.64785237, 484278.228216157)"
Haliaeetus leucocephalus,1233062.2144655902,479723.60024917085,"c(1233062.21446559, 479723.600249171)"
Haliaeetus leucocephalus,957372.7280392558,1044634.993826685,"c(957372.728039256, 1044634.99382669)"
Haliaeetus leucocephalus,1281059.3969710118,468750.501098496,"c(1281059.39697101, 468750.501098496)"
Haliaeetus leucocephalus,1070829.9342841457,518706.31363600795,"c(1070829.93428415, 518706.313636008)"
Haliaeetus leucocephalus,1057533.274415133,559598.1055128983,"c(1057533.27441513, 559598.105512898)"
Haliaeetus leucocephalus,1461737.0325747288,672971.3027348905,"c(1461737.03257473, 672971.30273489)"
Haliaeetus leucocephalus,1445223.3088203992,484529.7784938192,"c(1445223.3088204, 484529.778493819)"
Haliaeetus leucocephalus,1255055.9687583172,1017791.3588562883,"c(1255055.96875832, 1017791.35885629)"
Haliaeetus leucocephalus,1195497.4136927156,430475.38407395635,"c(1195497.41369272, 430475.384073956)"
Haliaeetus leucocephalus,1346494.6183507924,652477.5950532459,"c(1346494.61835079, 652477.595053246)"
Haliaeetus leucocephalus,1206447.5623272778,457633.6407295499,"c(1206447.56232728, 457633.64072955)"
Haliaeetus leucocephalus,1182706.6783095705,381023.90943474503,"c(1182706.67830957, 381023.909434745)"
Haliaeetus leucocephalus,838449.5194822231,899879.3247289034,"c(838449.519482223, 899879.324728903)"
Haliaeetus leucocephalus,1182417.8616573378,440251.80340974085,"c(1182417.86165734, 440251.803409741)"
Haliaeetus leucocephalus,1501194.188963246,606763.5140924971,"c(1501194.18896325, 606763.514092497)"
Haliaeetus leucocephalus,1064701.1906570955,515744.6435407974,"c(1064701.1906571, 515744.643540797)"
Haliaeetus leucocephalus,1195857.1354415647,385452.41636147787,"c(1195857.13544156, 385452.416361478)"
Haliaeetus leucocephalus,1155829.764327189,457361.3600934776,"c(1155829.76432719, 457361.360093478)"
Haliaeetus leucocephalus,1465650.4765826408,552829.2610776648,"c(1465650.47658264, 552829.261077665)"
Haliaeetus leucocephalus,1300177.4818977432,475018.27669949865,"c(1300177.48189774, 475018.276699499)"
Haliaeetus leucocephalus,1676224.6826975239,514113.30858939333,"c(1676224.68269752, 514113.308589393)"
Haliaeetus leucocephalus,1466539.0970104036,562874.7205434536,"c(1466539.0970104, 562874.720543454)"
Haliaeetus leucocephalus,1210334.5081833464,485193.37372048455,"c(1210334.50818335, 485193.373720485)"
Haliaeetus leucocephalus,1385626.342079551,648801.81618679,"c(1385626.34207955, 648801.81618679)"
Haliaeetus leucocephalus,1103021.9591292047,482785.6119882133,"c(1103021.9591292, 482785.611988213)"
Haliaeetus leucocephalus,1290180.5487934556,778216.6154198955,"c(1290180.54879346, 778216.615419896)"
Haliaeetus leucocephalus,1473345.382014071,569423.4691993567,"c(1473345.38201407, 569423.469199357)"
Haliaeetus leucocephalus,1253082.653262255,832259.9480497873,"c(1253082.65326226, 832259.948049787)"
Haliaeetus leucocephalus,1471138.1723844653,653319.3851926029,"c(1471138.17238447, 653319.385192603)"
Haliaeetus leucocephalus,1119485.397723895,477091.83995961974,"c(1119485.3977239, 477091.83995962)"
Haliaeetus leucocephalus,1220495.9357167804,468037.2010508724,"c(1220495.93571678, 468037.201050872)"
Haliaeetus leucocephalus,1252468.9995267373,469720.8460026086,"c(1252468.99952674, 469720.846002609)"
Haliaeetus leucocephalus,1183602.4833968496,382745.05753768486,"c(1183602.48339685, 382745.057537685)"
Haliaeetus leucocephalus,1194532.4657537828,386948.41795371415,"c(1194532.46575378, 386948.417953714)"
Haliaeetus leucocephalus,1120228.9952156143,471275.9892698813,"c(1120228.99521561, 471275.989269881)"
Haliaeetus leucocephalus,1074907.0826825332,516293.47071091214,"c(1074907.08268253, 516293.470710912)"
Haliaeetus leucocephalus,857434.0280346405,794141.0046042219,"c(857434.02803464, 794141.004604222)"
Haliaeetus leucocephalus,1471197.3233820575,571279.0983389043,"c(1471197.32338206, 571279.098338904)"
Haliaeetus leucocephalus,1106618.4020528116,1003881.2502414046,"c(1106618.40205281, 1003881.2502414)"
Haliaeetus leucocephalus,1701382.3003990366,667853.8356648339,"c(1701382.30039904, 667853.835664834)"
Haliaeetus leucocephalus,1147072.656256323,467801.76702026173,"c(1147072.65625632, 467801.767020262)"
Haliaeetus leucocephalus,1718889.6181908022,641140.0207263483,"c(1718889.6181908, 641140.020726348)"
Haliaeetus leucocephalus,1242569.236998938,452712.1803670601,"c(1242569.23699894, 452712.18036706)"
Haliaeetus leucocephalus,1740303.9068397325,556685.7289683053,"c(1740303.90683973, 556685.728968305)"
Haliaeetus leucocephalus,1160420.0416604532,501442.77660644334,"c(1160420.04166045, 501442.776606443)"
Haliaeetus leucocephalus,1074628.6087507939,526512.26706162,"c(1074628.60875079, 526512.26706162)"
Haliaeetus leucocephalus,1218204.7231200358,481928.8249639146,"c(1218204.72312004, 481928.824963915)"
Haliaeetus leucocephalus,1644832.4385721828,610303.6660139653,"c(1644832.43857218, 610303.666013965)"
Haliaeetus leucocephalus,1053683.1473038865,555685.8325185574,"c(1053683.14730389, 555685.832518557)"
Haliaeetus leucocephalus,1314372.0079553635,761474.6790218138,"c(1314372.00795536, 761474.679021814)"
Haliaeetus leucocephalus,1354273.170072674,739303.7058531786,"c(1354273.17007267, 739303.705853179)"
Haliaeetus leucocephalus,1154885.8856187938,450779.83995275036,"c(1154885.88561879, 450779.83995275)"
Haliaeetus leucocephalus,557549.4561677582,1003194.360633979,"c(557549.456167758, 1003194.36063398)"
Haliaeetus leucocephalus,1369245.6862556504,559011.8204315774,"c(1369245.68625565, 559011.820431577)"
Haliaeetus leucocephalus,1311570.433318776,680025.3643536654,"c(1311570.43331878, 680025.364353665)"
Haliaeetus leucocephalus,1213544.296779923,458628.0245828487,"c(1213544.29677992, 458628.024582849)"
Haliaeetus leucocephalus,1203975.8272590658,476827.78832431615,"c(1203975.82725907, 476827.788324316)"
Haliaeetus leucocephalus,1283586.3333929626,453995.4290142972,"c(1283586.33339296, 453995.429014297)"
Haliaeetus leucocephalus,921839.6882661558,707455.9323812638,"c(921839.688266156, 707455.932381264)"
Haliaeetus leucocephalus,1219435.4198149783,986348.5951796909,"c(1219435.41981498, 986348.595179691)"
Haliaeetus leucocephalus,1470255.2488540513,567668.4045256176,"c(1470255.24885405, 567668.404525618)"
Haliaeetus leucocephalus,1705271.3010634617,660833.9208302085,"c(1705271.30106346, 660833.920830208)"
Haliaeetus leucocephalus,1268655.7737112553,454042.84338351426,"c(1268655.77371126, 454042.843383514)"
Haliaeetus leucocephalus,1642256.4293387062,618428.4814269014,"c(1642256.42933871, 618428.481426901)"
Haliaeetus leucocephalus,1178991.579397691,442605.8220247419,"c(1178991.57939769, 442605.822024742)"
Haliaeetus leucocephalus,1146251.37363078,464733.39403135504,"c(1146251.37363078, 464733.394031355)"
Haliaeetus leucocephalus,1147266.4300325227,466764.39934808464,"c(1147266.43003252, 466764.399348085)"
Haliaeetus leucocephalus,1380371.2824201696,586309.9449276964,"c(1380371.28242017, 586309.944927696)"
Haliaeetus leucocephalus,1285350.4730539555,464309.895660758,"c(1285350.47305396, 464309.895660758)"
Haliaeetus leucocephalus,1061454.7097445268,516211.48531506234,"c(1061454.70974453, 516211.485315062)"
Haliaeetus leucocephalus,1197093.6988504112,426533.17245210876,"c(1197093.69885041, 426533.172452109)"
Haliaeetus leucocephalus,790397.0064888541,1134118.8951092192,"c(790397.006488854, 1134118.89510922)"
Haliaeetus leucocephalus,1223854.6454966222,458064.55180534883,"c(1223854.64549662, 458064.551805349)"
Haliaeetus leucocephalus,1205794.7560533492,468563.567264256,"c(1205794.75605335, 468563.567264256)"
Haliaeetus leucocephalus,1466516.7236216066,600983.4210658048,"c(1466516.72362161, 600983.421065805)"
Haliaeetus leucocephalus,1475024.5177488353,657955.0973185126,"c(1475024.51774884, 657955.097318513)"
Haliaeetus leucocephalus,1427505.1766183292,644530.4891036254,"c(1427505.17661833, 644530.489103625)"
Haliaeetus leucocephalus,1264574.9249659253,465564.5377820382,"c(1264574.92496593, 465564.537782038)"
Haliaeetus leucocephalus,1238648.2510930349,457802.8500997734,"c(1238648.25109303, 457802.850099773)"
Haliaeetus leucocephalus,1207872.8769418376,481644.0206388689,"c(1207872.87694184, 481644.020638869)"
Haliaeetus leucocephalus,1235534.1097483838,460758.4366187249,"c(1235534.10974838, 460758.436618725)"
Haliaeetus leucocephalus,1404985.3210173685,620182.8605047461,"c(1404985.32101737, 620182.860504746)"
Haliaeetus leucocephalus,1213106.070491922,456853.3333952144,"c(1213106.07049192, 456853.333395214)"
Haliaeetus leucocephalus,1388422.5732704615,649007.0521065617,"c(1388422.57327046, 649007.052106562)"
Haliaeetus leucocephalus,368992.1144713153,1680847.6565156493,"c(368992.114471315, 1680847.65651565)"
Haliaeetus leucocephalus,1736935.2351791505,583668.3481224708,"c(1736935.23517915, 583668.348122471)"
Haliaeetus leucocephalus,1216733.8632568633,448861.7429676408,"c(1216733.86325686, 448861.742967641)"
Haliaeetus leucocephalus,1203548.0769174139,471163.9103171313,"c(1203548.07691741, 471163.910317131)"
Haliaeetus leucocephalus,1118563.0548185045,477760.7595583511,"c(1118563.0548185, 477760.759558351)"
